Name,Lat,Long
Pedisong 1 clinic,-25.615760°,27.988290°
Sosh Block X Clinic,-25.490810°,28.094250°
Soshanguve Clinic,-25.490810°,28.094250°
Karenpark Clinic,-25.665592°,28.106620°
Rosslyn Clinic,-25.626010°,28.096010°
Blok JJ Clinic,-25.457390°,28.083630°
Kekana Gardens Clinic,-25.373780°,28.310396°
Ramotse Clinic,-25.357540°,28.295320°
Hercules Clinic,-25.711817°,28.148117°
Silverton Clinic,-25.733380°,28.
Folang Clinic,-25.749940°,28.173620°
Doornpoort Clinic,-25.654020°,28.252770°
Pierre Van Ryneveld Clinic,-25.843017°,28.243283°
F.F. Ribeiro Clinic,-25.745350°,28.195350°
Saulsville Clinic,-25.779099°,28.067273°
Atteridgeville Clinic,-25.773453°,28.071270°
Unjani Clinic,-25.767280°,28.075620°
Olievenhoutbosch Clinic,-25.911360°,28.093660°
Laudium Clinic,-25.788065°,28.106558°
Lyttelton Clinic,-25.835990°,28.196000°
Eldoraigne Clinic,-25.836360°,28.149310°
p2p Rooihuiskraal Clinic,-25.893233°,28.152783°
Tshepong Community Centre,-25.641790°,28.529490°
Refilwe Community Centre,-25.636990°,28.530530°
Mamelodi West Clinic,-25.714260°,28.348640°
Nelmapius Clinic,-25.736720°,28.350310°
Eersterust Clinic,-25.708230°,28.319250°
Mamelodi Hospital,-25.719880°,28.369480°
Ubuntu Clinic,-25.756840°,28.426580°
Mamelodi Clinic,-25.704560°,28.375880°
Stanza Ii Bopape Clinic,-25.714380°,28.415980°
Phahameng Clinic,-25.721700°,28.387183°
Dark City Clinic,-25.659410°,28.731870°
Sokhulumi clinic,-25.601970°,28.888610°
Mabopane Block A Customer Care Centre,-25.502220°,28.062650°
Mabopane Block X Customer Care Centre,-25.513833°,28.047111°
Beirut Customer Care Centre,-25.492780°,28.059840°
Winterveldt Customer Care Centre,-25.471239°,28.058414°
Ga-Rankuwa Customer Care Centre,-25.594650°,27.999967°
Soshanguve Block F Customer Care Centre,-25.519700°,28.100700°
Akasia Customer Care Centre,-25.667040°,28.106800°
Bodibeng Customer Care Centre,-25.493240°,28.093940°
Sinoville Customer Care Centre,-25.674102,28.214301
Hammanskraal Customer Care Centre,-25.403660°,28.288940°
Temba Customer Care Centre,-25.385770°,28.255210°
Laudium Custome Care Health Centre,-25.784190°,28.088670°
Laudium Customer Care Centre,-25.787383°,28.106950°
Olievenhoutbosch Customer Care Centre,-25.911027°,28.095293°
Rayton Customer Care Centre,-25.739083°,28.529650°
Rayton Municipal Key Site,-25.739217°,28.530150°
Refilwe Municipal Key Site,-25.637270°,28.531060°
Refilwe Customer Care Centre,-25.638950°,28.534290°
Nelmapius Customer Care Centre,-25.741767°,28.358783°
Stanza Bopape Customer Care Centre,-25.706360°,28.401080°
Eersterust Customer Care Centre,-25.706933°,28.309283°
Mamelodi Customer Care Centre,-25.716494°,28.337198°
Grasdak Offices,-25.805320°,28.736870°
Bronkhorstspruit Customer Care Centre,-25.807477°,28.755008°
Capital Park Electrical Depot,-25.727380°,28.173440°
Rosslyn Depot,-25.633450°,28.105133°
Mabopane library,-25.513240°,28.054010°
Halala Library,-25.520000°,28.110067°
Winterveld Library,-25.471510°,28.058070°
Akasia Library,-25.671830°,28.107640°
Kt Motubatse Library,-25.584360°,28.089650°
Bodibeng Bodibeng Library,-25.492880°,28.094580°
Soshanguve Block X Library,-25.467900°,28.130690°
Hammanskraal Library,-25.404020°,28.289010°
Steve Biko Library,-25.378600°,28.308110°
Suurman Library,-25.382160°,28.220880°
Temba Library,-25.386430°,28.255820°
Hercules Library,-25.714770°,28.146970°
Mayville Library,-25.700050°,28.181640°
Mountain View Library,-25.700917°,28.161083°
Silverton Library,-25.733540°,28.297250°
Danville Library,-25.743520°,28.126390°
Pretoria North Library,-25.673630°,28.171060°
Waverley Library,-25.703070°,28.258110°
Pierre Van Ryneveld Library,-25.842700°,28.243267°
Depot Library,-25.744450°,28.195250°
Moot Library,-25.716610°,28.217090°
Valhalla Library,-25.812560°,28.156880°
Brooklyn Library Inside,-25.770430°,28.234040°
Es'kia Mphahlele Library,-25.745250°,28.194660°
Atteridgeville Library,-25.770483°,28.070417°
Saulsville Library,-25.769670°,28.062880°
Eldoraigne Library,-25.848317°,28.154017°
Valhalla Library Inside (Fibre),-25.841510,28.148300°
Lyttelton Library,-25.830083°,28.206096°
Laudium Library,-25.787143°,28.100669°
Erasmia Library,-25.815810°,28.091290°
Irene Library,-25.875700°,28.222817°
Rooihuiskraal Library,-25.893230°,28.152870°
Olievenhoutbosch Library,-25.911250°,28.093390°
Refilwe Library,-25.635960°,28.527270°
East Lynne Library,-25.705560°,28.284400°
Cullinan Library,-25.675150°,28.521390°
Abram Makolane Library,-25.738980°,28.362400°
Eersterust Library,-25.706920°,28.309690°
Mamelodi West Library,-25.712733°,28.348600°
Mahlasedi Masana Library,-25.716810°,28.419160°
Stanza Bopape Library,-25.713250°,28.400450°
Bronkhorstspruit Library,-25.809300°,28.743090°
Mabopane Unit U Park,-25.51476°,28.03746°
Soshanguve Park Bolck M,-25.522650°,28.058880°
Soshanguve East Park,-25.591040°,28.097280°
Thwalo street park,-25.596561°,28.106864°
Block M Ext 1 Park,-25.553230°,28.102830°
Ga-Rangkwa unit 7 park,-25.568270°,28.011000°
Endemic Park,-25.593620°,27.971470°
Puleng Park,-25.580810°,28.016870°
Colbyn Glyn Park,-25.740710°,28.241750°
Impala Park,-25.668670°,28.145930°
Bokser Park,-25.655900°,28.140930°
Seymore Park,-25.650340°,28.106620°
Besembos Park,-25.676330°,28.110010°
Capital Park Parkie,-25.725960°,28.183330°
Pangolin Ave Park,-25.669570°,28.137670°
Honey Suckle rd park,-25.683474°,28.235737°
Limpopo ave park,-25.684130°,28.221210°
Moonflower St Park,-25.679190°,28.229600°
ongers st park,-25.685220°,28.225340°
Overkruin,-25.678702,28.217083
Ramotse park,-25.366150°,28.285950°
Remotse N1 Park,-25.350990°,28.295410°
Tsebe Ntlha,-25.372390°,28.254680°
Japie Le Roux Park,-25.725390°,28.154050°
Claremont Park,-25.710060°,28.137570°
Eloffsdal park,-25.71137°,28.18589°
Phillip Nel Park,-25.731129°,28.144052°
Boekenhoutkloof straat park,-25.712460°,28.134550°
Bruins park,-25.706570°,28.176700°
Mountain View Park,-25.701060°,28.147870°
Roseville Park,-25.707861°,28.174667°
Bernard Street Parkie Garsfontein,-25.799820°,28.311900°
Borzoi Park,-25.801270°,28.313460°
Garsfontein Tennis and Skate Park,-25.788910°,28.285950°
Hillside Bussiness Park,-25.768010°,28.266950°
Hillside Sirkel Park,-25.769194°,28.264861°
Moreleta Nature Reserve,-25.815480°,28.291690°
Pretorius Park,-25.811150°,28.304700°
Pro Arte Alphen Park,-25.781970°,28.263810°
Jalapeno Park,-25.747100°,28.096530°
Colbyn Golf Park,-25.741170°,28.248400°
Swaan Street Park,-25.708330°,28.288310°
Springbok Park,-25.745340°,28.237190°
Kraanvoel park,-25.730630°,28.321000°
Jacobson Drive Park,-25.765050°,28.296490°
Spain Park,-25.741480°,28.152070°
Bontle ke Bothe Park,-25.741370°,28.139220°
Schneider Ave Park,-25.740310°,28.108430°
Joos Becker Caravan Park,-25.696890°,28.184260°
Visarend street park,-25.803340°,28.223300°
Parsley Park,-25.671560°,28.202960°
Jackson Van Zyl Park,-25.677630°,28.156680°
Jopie Fourie St Park,-25.663230°,28.162630°
Alwyn Park,-25.686220°,28.195490°
17th Ave Park,-25.705350°,28.214300°
Kuyper Avev Park,-25.699410°,28.216730°
Aerangis park,-25.708950°,28.216730°
